npsn,nama,status,akreditasi,kab_kota,provinsi,alamat,lintang,bujur,jml_siswa,total_rombel,jml_jurusan,jurusan,url
40604724,UPTD SMK NEGERI 1 TUTAR,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,POROS TUBBI TARAMANU,-3.29410000,119.06180000,156,9,10,,https://smk.kemendikdasmen.go.id/detail-sekolah/DBE8DAB4-F99D-4A42-9434-0E5B5962C3F6
69854729,UPTD SMK Negeri 1 Tanduk Kalua,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,Jl. Poros Mamasa Polewali Km. 19,-3.03590000,119.30810000,67,6,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/CF248B20-6E3B-4544-BEF5-E515F944CCE0
69978089,SMKS  SMART JAYA,Swasta,C,Kab. Pasangkayu,Prov. Sulawesi Barat,JL TRANS SULAWESI DESA BENGGAULU KEC. DAPURANG,-1.65575700,119.57900310,78,5,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/19E49107-19E0-4F0A-AC3F-15A0D34704CC
40602557,UPTD SMKN LUYO,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,POROS TUTAR DESA MAMBU KEC. LUYO,-3.36160000,118.96460000,186,9,14,,https://smk.kemendikdasmen.go.id/detail-sekolah/D4ED62A4-E655-41DA-B80A-508EEFC5D26D
40601037,UPTD SMKN 1 SESENAPADANG,Negeri,B,Kab. Mamasa,Prov. Sulawesi Barat,OROBUA,-2.96410000,119.38620000,130,15,17,,https://smk.kemendikdasmen.go.id/detail-sekolah/B4D6F014-4328-4053-A6BE-21DC2A43514F
40605629,UPTD SMKN 1 DAPURANG,Negeri,B,Kab. Pasangkayu,Prov. Sulawesi Barat,Kasalai,-1.67670000,119.29640000,48,7,10,,https://smk.kemendikdasmen.go.id/detail-sekolah/97019C6E-A3FF-402A-AE41-1688078B0550
40604957,UPTD SMKN 6 MAJENE,Negeri,B,Kab. Majene,Prov. Sulawesi Barat,JL. POROS MAMUJU-MAJENE KM. 94,-2.95350000,118.87120000,303,16,13,,https://smk.kemendikdasmen.go.id/detail-sekolah/38E27BAB-16D2-4960-884A-CB35A64EA0E2
60728435,UPTD SMKN 1 TOBADAK,Negeri,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,TOBADAK,-1.99230000,119.55440000,106,9,11,,https://smk.kemendikdasmen.go.id/detail-sekolah/85AE1E65-2025-47E5-99D5-7D94D22A8910
69950249,SMK NURUL MUKMININ KALUKKU,Swasta,C,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Poros Pokkang,-2.53810000,119.08580000,53,4,6,,https://smk.kemendikdasmen.go.id/detail-sekolah/A90B38B7-E53A-40C2-99F8-B57BCE213F2E
69786951,UPTD SMKN 1 TAPALANG,Negeri,B,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Poros Mamuju-Majene Km. 29,-2.82950000,118.86110000,171,15,22,,https://smk.kemendikdasmen.go.id/detail-sekolah/95BC0030-F971-4B9F-A424-1728042D0EB9
40605630,UPTD SMKN 1 BAMBALAMUTU,Negeri,B,Kab. Pasangkayu,Prov. Sulawesi Barat,JALAN TRANS SULAWESI,-1.03660000,119.48100000,294,14,13,,https://smk.kemendikdasmen.go.id/detail-sekolah/A6CAF948-11BA-40E0-9243-3B42F0E56BB7
40605472,SMKS KOMPUTER MUHAMMADIYAH,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,DG.PAINDO NO 5,-1.93970000,119.38950000,26,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/2DAD6B8A-0D0E-49C4-B0AD-07DCC3FD4D8B
69774917,SMKS KEPERAWATAN ST. FATIMAH,Swasta,B,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Soekarno Hatta No.09 Mamuju,-2.69700000,118.87210000,73,4,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/9446EE66-8744-4684-9817-A70C984D2CAF
69829179,UPTD SMK NEGERI 1 BAMBANG,Negeri,A,Kab. Mamasa,Prov. Sulawesi Barat,Jl. Pebatean ,-2.94970000,119.18480000,94,6,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/51AE1850-C60F-4987-950E-B93F17E30DC4
40605505,UPTD SMKN BULO,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,POROS KANUSUANG,-3.32800000,119.16870000,297,13,10,,https://smk.kemendikdasmen.go.id/detail-sekolah/20C21A5D-A805-4BF5-A1B5-589D6CD7BB65
40604360,SMKS BUDI MULYA KALUKKU,Swasta,B,Kab. Mamuju,Prov. Sulawesi Barat,JL. VETERAN TASIU,-2.54260000,119.06560000,64,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/2F9B291A-2AEF-4D09-A14C-680D78CE45CB
40601315,UPTD SMKN 2 MAJENE,Negeri,A,Kab. Majene,Prov. Sulawesi Barat,JL. DR. RATULANGI NO. 9 MAJENE,-3.54260000,118.97140000,1056,36,21,,https://smk.kemendikdasmen.go.id/detail-sekolah/AD0666E1-01CE-4DAF-AB9D-08D4E0798A76
