npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
40604724,UPTD SMK NEGERI 1 TUTAR,Negeri,B,Kab. Polewali Mandar,10,6,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Busana | Desain dan Produksi Busana | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis,156,9
69854729,UPTD SMK Negeri 1 Tanduk Kalua,Negeri,C,Kab. Mamasa,7,4,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif,67,6
69978089,SMKS  SMART JAYA,Swasta,C,Kab. Pasangkayu,2,2,Agribisnis Pengolahan Hasil Pertanian | Teknik Kendaraan Ringan Otomotif,78,5
40602557,UPTD SMKN LUYO,Negeri,B,Kab. Polewali Mandar,14,7,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,186,9
40601037,UPTD SMKN 1 SESENAPADANG,Negeri,B,Kab. Mamasa,17,9,Agribisnis Perikanan | Agribisnis Perikanan Air Tawar | Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Perhotelan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,130,15
40605629,UPTD SMKN 1 DAPURANG,Negeri,B,Kab. Pasangkayu,10,4,Agribisnis Perikanan | Agribisnis Perikanan Payau dan Laut | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,48,7
40604957,UPTD SMKN 6 MAJENE,Negeri,B,Kab. Majene,13,9,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Akuntansi | Akuntansi dan Keuangan Lembaga | Desain Komunikasi Visual | Multimedia | Teknik Kendaraan Ringan | Teknik Kendaraan Ringan Otomotif | Teknik Otomotif,303,16
60728435,UPTD SMKN 1 TOBADAK,Negeri,C,Kab. Mamuju Tengah,11,7,Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,106,9
69950249,SMK NURUL MUKMININ KALUKKU,Swasta,C,Kab. Mamuju,6,3,Agribisnis Tanaman Pangan dan Hortikultura | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,53,4
69786951,UPTD SMKN 1 TAPALANG,Negeri,B,Kab. Mamuju,22,10,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Akuntansi | Akuntansi dan Keuangan Lembaga | Layanan Kesehatan | Layanan Penunjang Keperawatan dan Caregiving | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Elektronika | Teknik Elektronika Industri,171,15
40605630,UPTD SMKN 1 BAMBALAMUTU,Negeri,B,Kab. Pasangkayu,13,6,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Busana | Desain dan Produksi Busana | Desain Komunikasi Visual | Perhotelan,294,14
40605472,SMKS KOMPUTER MUHAMMADIYAH,Swasta,C,Kab. Mamuju Tengah,3,2,Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran,26,3
69774917,SMKS KEPERAWATAN ST. FATIMAH,Swasta,B,Kab. Mamuju,3,2,Asisten Keperawatan | Multimedia,73,4
69829179,UPTD SMK NEGERI 1 BAMBANG,Negeri,A,Kab. Mamasa,7,4,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,94,6
40605505,UPTD SMKN BULO,Negeri,B,Kab. Polewali Mandar,10,5,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Desain Komunikasi Visual | Teknik Otomotif | Teknik Sepeda Motor,297,13
40604360,SMKS BUDI MULYA KALUKKU,Swasta,B,Kab. Mamuju,4,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,64,3
40601315,UPTD SMKN 2 MAJENE,Negeri,A,Kab. Majene,21,12,Akuntansi | Akuntansi dan Keuangan Lembaga | Bisnis Digital | Bisnis Retail | Desain Komunikasi Visual | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Pemasaran | Pengembangan Perangkat Lunak dan Gim | Rekayasa Perangkat Lunak | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,1056,36
40600655,UPTD SMKN 1 TINAMBUNG,Negeri,B,Kab. Polewali Mandar,22,14,Akuntansi | Akuntansi dan Keuangan Lembaga | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Pengembangan Perangkat Lunak dan Gim | Rekayasa Perangkat Lunak | Teknik Instalasi Tenaga Listrik | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Ketenagalistrikan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Pengelasan | Teknik Pengelasan dan Fabrikasi Logam | Teknik Sepeda Motor,738,27
40604382,UPTD SMKN LABUANG,Negeri,B,Kab. Polewali Mandar,19,10,Desain Komunikasi Visual | Pengembangan Perangkat Lunak dan Gim | Rekayasa Perangkat Lunak | Teknik Audio Video | Teknik Elektronika | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,474,23
69758234,UPTD SMKN 1 ARALLE,Negeri,C,Kab. Mamasa,6,4,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,81,6
69852826,UPTD SMK NEGERI LAMBANAN,Negeri,C,Kab. Mamasa,12,9,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik dan Bisnis Sepeda Motor | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,80,11
69940165,SMK HARAPAN BANGSA MAJENE,Swasta,B,Kab. Majene,3,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,0,0
40602682,SMKS TALENTA,Swasta,C,Kab. Mamasa,12,8,Asisten Keperawatan | Farmasi Klinis dan Komunitas | Layanan Kesehatan | Layanan Penunjang Keperawatan dan Caregiving | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Kendaraan Ringan Otomotif | Teknik Otomotif,43,8
69949537,SMKS MADANI MANDAR,Swasta,C,Kab. Polewali Mandar,3,1,Teknik Komputer dan Jaringan,34,3
69949488,UPTD SMK NEGERI PARIWISATA MAMASA,Negeri,C,Kab. Mamasa,9,5,Busana | Desain dan Produksi Busana | Perhotelan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,100,9
40600646,UPTD SMKN PAKU,Negeri,B,Kab. Polewali Mandar,13,5,Agribisnis Perikanan | Agribisnis Rumput Laut | Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Teknik Konstruksi dan Perumahan,195,12
40601025,SMKS YPK MAMASA,Swasta,C,Kab. Mamasa,7,3,Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran,35,3
69931900,UPTD SMK NEGERI SULBAR,Negeri,B,Kab. Mamuju,7,4,Agribisnis Pengolahan Hasil Pertanian | Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Agriteknologi Pengolahan Hasil Pertanian,129,7
